,Unnamed: 0,LURN_SAK,INCIDENT_DATE,CATEGORY,STAT,ADDRESS,LONGITUDE,LATITUDE,PART_CATEGORY,timestamp,hour,month,weekday
13575,3532,19952266,06/28/2022 11:50:00 AM,BURGLARY,75,"7100 SANTA MONICA BLVD, WEST HOLLYWOOD, CA 90046",-118.344,34.09,1,2022-06-28 11:50:00,11,6,1
13576,3683,19936842,06/11/2022 01:04:00 PM,SEX OFFENSES MISDEMEANORS,130,"1000 N HAYWORTH AVE, WEST HOLLYWOOD, CA 90046",-118.363,34.09,2,2022-06-11 13:04:00,13,6,5
13577,3739,19843026,02/23/2022 10:45:00 PM,VANDALISM,263,"7900 SANTA MONICA BLVD, WEST HOLLYWOOD, CA",-118.363,34.09,2,2022-02-23 22:45:00,22,2,2
13578,3740,19842584,02/13/2022 10:45:00 PM,LARCENY THEFT,81,"8900 SANTA MONICA BLVD, WEST HOLLYWOOD, CA 90069",-118.384,34.084,1,2022-02-13 22:45:00,22,2,6
13579,3792,19824650,01/08/2022 12:00:00 PM,FORGERY,103,"1200 ORANGE GROVE DR, WEST HOLLYWOOD, CA 90046",-118.36,34.094,2,2022-01-08 12:00:00,12,1,5
13580,3867,19951157,05/29/2022 05:36:00 PM,DISORDERLY CONDUCT,217,"800 N DOHENY DR, WEST HOLLYWOOD, CA 90069",-118.389,34.085,2,2022-05-29 17:36:00,17,5,6
13581,3870,20010629,08/30/2022 03:41:00 AM,LARCENY THEFT,389,"8200 NORTON AVE, WEST HOLLYWOOD, CA 90046",-118.369,34.091,1,2022-08-30 03:41:00,3,8,1
13582,3943,19883480,04/12/2022 08:50:00 AM,GRAND THEFT AUTO,93,"1200 LAUREL AVE, WEST HOLLYWOOD, CA",-118.364,34.092,1,2022-04-12 08:50:00,8,4,1
13583,3963,19934021,06/07/2022 12:00:00 PM,LARCENY THEFT,87,"900 HARPER AVE, WEST HOLLYWOOD, CA 90046",-118.369,34.087,1,2022-06-07 12:00:00,12,6,1
13584,3978,19986336,08/05/2022 12:04:00 AM,AGGRAVATED ASSAULT,53,"600 ROBERTSON BLVD, WEST HOLLYWOOD, CA 90069",-118.385,34.083,1,2022-08-05 00:04:00,0,8,4
13585,3998,19931074,06/04/2022 03:22:30 PM,BURGLARY,67,"300 HUNTLEY DR, WEST HOLLYWOOD, CA 90048",-118.378,34.078,1,2022-06-04 15:22:30,15,6,5
13586,4019,19891712,04/19/2022 04:00:00 PM,BURGLARY,78,"7500 NORTON AVE, WEST HOLLYWOOD, CA 90069",-118.354,34.091,1,2022-04-19 16:00:00,16,4,1
13587,4022,19931106,06/06/2022 01:10:00 AM,NARCOTICS,181,"1000 SWEETZER AVE, WEST HOLLYWOOD, CA 90069",-118.37,34.088,2,2022-06-06 01:10:00,1,6,0
13588,4047,19856793,03/08/2022 09:45:00 AM,BURGLARY,78,"8800 SUNSET BLVD, WEST HOLLYWOOD, CA 90069",-118.383,34.09,1,2022-03-08 09:45:00,9,3,1
13589,4049,19858819,03/14/2022 07:00:00 AM,VANDALISM,263,"900 LARRABEE ST, WEST HOLLYWOOD, CA 90069",-118.384,34.087,2,2022-03-14 07:00:00,7,3,0
13590,4105,19903305,05/04/2022 10:30:00 AM,LARCENY THEFT,340,"8400 SUNSET BLVD, WEST HOLLYWOOD, CA 90069",-118.375,34.094,1,2022-05-04 10:30:00,10,5,2
13591,4106,19903490,04/22/2022 09:55:00 PM,LARCENY THEFT,387,"600 N ROBERTSON BLVD, WEST HOLLYWOOD, CA 90069",-118.385,34.083,1,2022-04-22 21:55:00,21,4,4
13592,4189,19830818,02/09/2022 12:07:30 AM,GRAND THEFT AUTO,95,"CURSON AVE AND SANTA MONICA BLVD, WEST HOLLYWOOD, CA",-118.355,34.09,1,2022-02-09 00:07:30,0,2,2
13593,4277,20031289,09/09/2022 11:15:00 PM,LARCENY THEFT,87,"8800 SANTA MONICA BLVD, WEST HOLLYWOOD, CA 90069",-118.383,34.085,1,2022-09-09 23:15:00,23,9,4
13594,4285,20025887,09/14/2022 11:30:00 AM,MISDEMEANORS MISCELLANEOUS,529,"1100 POINSETTIA DR, WEST HOLLYWOOD, CA 90046",-118.347,34.091,2,2022-09-14 11:30:00,11,9,2
13595,4286,20026968,08/01/2022 09:00:00 AM,FELONIES MISCELLANEOUS,330,"7400 SANTA MONICA BLVD, WEST HOLLYWOOD, CA 90046",-118.352,34.09,2,2022-08-01 09:00:00,9,8,0
13596,4370,19846049,02/23/2022 01:37:30 AM,FORCIBLE RAPE,21,"600 N ROBERTSON BLVD, WEST HOLLYWOOD, CA",-118.385,34.083,1,2022-02-23 01:37:30,1,2,2
13597,4386,19962883,07/10/2022 10:30:00 AM,NON-AGGRAVATED ASSAULTS,146,"1000 PALM AVE, WEST HOLLYWOOD, CA",-118.383,34.089,2,2022-07-10 10:30:00,10,7,6
13598,4431,20014785,09/04/2022 12:37:30 AM,LARCENY THEFT,81,"600 ROBERTSON BLVD, WEST HOLLYWOOD, CA 90069",-118.385,34.083,1,2022-09-04 00:37:30,0,9,6
13599,4514,19943934,06/19/2022 01:00:00 AM,LARCENY THEFT,387,"8900 SANTA MONICA BLVD, WEST HOLLYWOOD, CA",-118.384,34.085,1,2022-06-19 01:00:00,1,6,6
