,LURN_SAK,INCIDENT_DATE,CATEGORY,STAT,ADDRESS,LONGITUDE,LATITUDE,PART_CATEGORY
106787,19290529,06/16/2020 04:05:00 PM,LARCENY THEFT,340,"600 LA PEER AVE, WEST HOLLYWOOD, CA  90069",-118.386,34.081,1
106911,19297455,06/24/2020 12:15:00 AM,LARCENY THEFT,85,"600 CROFT AVE, WEST HOLLYWOOD, CA",-118.373,34.082,1
106984,19279366,06/02/2020 08:49:00 PM,MISDEMEANORS MISCELLANEOUS,399,"LEXINGTON AVE AND LA BREA AVE, WEST HOLLYWOOD, CA",-118.344,34.092,2
106986,19242423,04/16/2020 04:45:00 PM,NON-AGGRAVATED ASSAULTS,144,"GARDNER ST AND SANTA MONICA BLVD, WEST HOLLYWOOD, CA",-118.353,34.09,2
107068,19162844,01/15/2020 12:36:00 AM,MISDEMEANORS MISCELLANEOUS,399,"7300 SANTA MONICA BLVD, WEST HOLLYWOOD, CA  90048",-118.351,34.092,2
107177,19186943,02/08/2020 09:00:00 PM,NON-AGGRAVATED ASSAULTS,144,"7100 SANTA MONICA BLVD, WEST HOLLYWOOD, CA",-118.344,34.09,2
107301,19258673,05/07/2020 10:50:00 PM,DRUNK / ALCOHOL / DRUGS,201,"SANTA MONICA BLVD AND LA BREA AVE, WEST HOLLYWOOD, CA",-118.344,34.09,2
107303,19258665,05/07/2020 10:24:00 PM,MISDEMEANORS MISCELLANEOUS,399,"MELROSE AVE AND LA BREA AVE, WEST HOLLYWOOD, CA",-118.344,34.083,2
107423,19292624,06/16/2020 11:15:00 AM,BURGLARY,68,"900 SPAULDING AVE, WEST HOLLYWOOD, CA",-118.357,34.087,1
107478,19231787,03/31/2020 10:18:00 AM,NON-AGGRAVATED ASSAULTS,144,"7100 SANTA MONICA BLVD, WEST HOLLYWOOD, CA  90046",-118.344,34.09,2
107752,19153352,01/04/2020 02:00:00 PM,LARCENY THEFT,383,"7100 SANTA MONICA BLVD, WEST HOLLYWOOD, CA",-118.344,34.09,1
107800,19298709,06/26/2020 12:40:00 AM,BURGLARY,78,"1000 LAUREL AVE, WEST HOLLYWOOD, CA",-118.365,34.09,1
107986,19195158,02/17/2020 09:43:00 PM,NON-AGGRAVATED ASSAULTS,146,"1200 HAYWORTH AVE, WEST HOLLYWOOD, CA  90048",-118.362,34.092,2
108100,19296210,06/20/2020 05:30:00 PM,LARCENY THEFT,384,"9000 SANTA MONICA BLVD, WEST HOLLYWOOD, CA  90069",-118.386,34.082,1
108102,19294134,06/20/2020 09:00:00 PM,BURGLARY,62,"1400 N LAUREL AVE, WEST HOLLYWOOD, CA  90046",-118.364,34.096,1
108104,19297144,06/22/2020 01:00:00 AM,LARCENY THEFT,84,"1300 LAUREL AVE, WEST HOLLYWOOD, CA  90046",-118.364,34.095,1
108170,19308896,07/08/2020 12:30:00 PM,LARCENY THEFT,340,"7800 SANTA MONICA BLVD, WEST HOLLYWOOD, CA",-118.36,34.09,1
108172,19293916,06/20/2020 03:54:00 PM,VANDALISM,263,"9000 BEVERLY BLVD, WEST HOLLYWOOD, CA",-118.389,34.076,2
